Rank	 Temple	 Points	 Change	 MahaBig Books	 Big Books	 Medium Books	 Small Books	 Mags	 BTG Subs	 Sets	 Latitude	 Longitude	Year
1	Mayapur 	1410295.1	116	557660	148215	122943	287942	33053	5262	15122	23.4232013	88.388264	1/1/2014
2	New Delhi 	1370123	33	616846	14937	36372	331366	204665	0	696	28.6139391	77.2090212	1/1/2014
3	Mumbai-Juhu 	598874.25	-8	271743	11347	32459	111247	0	0	1362	19.098821	72.8320717	1/1/2014
4	New Delhi	544970.25	54	250673	5792	4392	93483	65921	2986	573	28.6139391	77.2090212	1/1/2014
5	Pune 	408070.55	53	191676	3077	3233	58029	27595	1432	47	18.5204303	73.8567437	1/1/2014
6	Mumbai-ChowpattWeb	346978.25	-14	153588	6178	6259	117931	5959	219	239	19.0759837	72.8776559	1/1/2014
7	Tirupati 	225670.35	-2	73754	8766	7141	162817	144949	5593	0	13.6287557	79.4191795	1/1/2014
8	Los Angeles 	222054.6	30	74468	29855	46191	56634	13456	1060	100	34.0522342	-118.2436849	1/1/2014
9	Ahmedabad 	179447.75	-6	86885	0	2975	11185	4250	510	163	23.022505	72.5713621	1/1/2014
10	Moscow 	167881	-45	60421	21875	26133	48390	0	0	0	55.755826	37.6173	1/1/2014
11	Surat 	158051.2	20	60141	3346	2165	51284	50556	8139	283	21.1702401	72.8310607	1/1/2014
12	Vrindavan 	138745.75	-49	9852	50370	35527	203633	0	0	286	27.5650088	77.6593394	1/1/2014
13	Moscow-Jagannat	133912.75	0	59905	7432	6800	13083	0	0	0	55.755826	37.6173	1/1/2014
14	Chennai 	112625.1	132	48487	5334	6914	25098	5856	0	38	13.0826802	80.2707184	1/1/2014
15	Sankirtan Dham	108543	85	42992	3854	37410	0	0	0	0	null	null	1/1/2014
16	Bhaktivedanta MWeb	100779.25	67	38521	1849	38348	10857	0	0	82	null	null	1/1/2014
17	Krasnodar 	95453.75	-11	22901	21731	28153	55377	0	0	0	45.0392674	38.987221	1/1/2014
18	VV Nagar 	90559.95	52	22127	1771	2647	19643	93333	15246	124	22.5512626	72.925386	1/1/2014
19	Chandigarh 	90496.25	15	41662	3914	3261	4891	1200	150	0	30.7333148	76.7794179	1/1/2014
20	Salem 	87592.05	-3	37374	4362	241	14405	13954	1771	410	42.51954	-70.8967155	1/1/2014
21	RupanugaVedicCoWeb	87330.8	-7	33105	14333	3533	9518	26418	0	0	null	null	1/1/2014
22	Silicon Valley	84750.75	2	41295	570	0	6363	0	0	594	37.387474	-122.0575434	1/1/2014
23	Simhacalam 	56933.5	0	17307	14517	15605	0	0	0	0	17.7741624	83.2318634	1/1/2014
24	St. Petersburg Web	55669.5	-18	16285	12423	12982	16742	0	0	0	27.7518284	-82.6267345	1/1/2014
25	London-Soho 	49565.75	54	16180	2185	18079	23925	0	0	36	51.5136143	-0.1365486	1/1/2014
26	Centro Goura Ni	45436	63	530	33983	17286	7000	0	0	0	42.3352778	44.7627778	1/1/2014
27	Denver 	43850.05	29	18798	2545	2265	9181	2813	0	182	39.7392358	-104.990251	1/1/2014
28	Coimbatore 	43008.5	18	16204	3804	444	17498	13280	380	0	11.0168445	76.9558321	1/1/2014
29	Kolkata 	42064.05	-34	20230	501	650	3059	133	0	0	22.572646	88.363895	1/1/2014
30	Cueramaro 	41574.75	-4	2817	9673	5053	94965	0	0	0	20.6258385	-101.6717765	1/1/2014
31	Nizhny Novgorod	41024.25	0	15292	7932	4392	1249	0	0	0	56.2965039	43.9360589	1/1/2014
32	Sydney-North 	40463.1	0	17326	2569	4750	3412	141	0	32	-33.8674869	151.2069902	1/1/2014
33	Nairobi 	40390.25	17	8524	5848	6907	55957	515	0	8	-1.2920659	36.8219462	1/1/2014
34	Omsk 	40265	96	14598	5126	5072	13628	0	0	0	54.9884804	73.3242362	1/1/2014
35	Toronto 	37200.9	9	10198	5179	9905	22604	1336	202	111	43.653226	-79.3831843	1/1/2014
36	Ujjain 	36884.25	0	11339	5794	8798	15783	200	25	112	23.1793013	75.7849097	1/1/2014
37	Baroda 	36601.3	98	14685	5	2892	2766	11982	1799	149	22.3071588	73.1812187	1/1/2014
38	Habarovsk 	36300.5	-2	12106	6551	5782	10586	0	0	0	48.5027313	135.0662599	1/1/2014
39	Irkutsk 	34754.75	324	8059	8865	11529	16029	0	0	0	52.2869741	104.3050183	1/1/2014
40	Gainesville 	31236.8	0	9123	6546	8811	8106	128	0	22	29.6516344	-82.3248262	1/1/2014
41	Mexico City 	30537.5	-12	2273	6185	3110	73006	0	0	0	19.4326077	-99.133208	1/1/2014
42	Madurai 	29749.2	-25	11992	219	140	12628	23192	0	0	9.9252007	78.1197754	1/1/2014
43	Chicago 	29123.6	20	9247	5589	2059	15636	1021	0	0	41.8781136	-87.6297982	1/1/2014
44	Bali 	28390.5	13	11570	1031	2783	8354	7395	0	0	-8.4095178	115.188916	1/1/2014
45	Kiev 	28024	-22	8342	2749	10897	12570	0	0	0	50.4501	30.5234	1/1/2014
46	Santiago 	27708.75	38	2087	65	26068	41743	0	0	0	42.8782132	-8.5448445	1/1/2014
47	Perm 	27306.2	-2	9372	1063	9716	10550	37	0	0	58.0296813	56.2667916	1/1/2014
48	Curitiba 	26874.8	62	2309	13247	3015	30000	23	0	0	-25.4289541	-49.267137	1/1/2014
49	Kazan 	26861.25	19	5677	6131	11312	14881	0	0	0	55.8304307	49.0660806	1/1/2014
50	Minsk 	26667	-9	7735	6312	4666	10208	0	0	0	53.9045398	27.5615244	1/1/2014
51	Nellore 	26030	0	7791	2739	2027	26782	0	0	0	14.4425987	79.986456	1/1/2014
52	Swansea 	25289.5	0	6172	3383	19094	58	10	0	2	51.62144	-3.943646	1/1/2014
53	Durban 	23967.8	15	6320	746	2190	36758	2973	0	49	-29.8586804	31.0218404	1/1/2014
54	Baltimore 	23668.1	283	6966	512	1092	29882	12076	0	25	39.2903848	-76.6121893	1/1/2014
55	Barnaul 	23452	103	4590	8174	7264	9864	0	0	0	53.3547792	83.7697832	1/1/2014
56	Prabhupada Bhav	22267	101	9179	3809	70	260	0	0	0	null	null	1/1/2014
57	Auckland Loft 	20689.6	-8	3307	10799	784	8318	8051	0	9	-36.7777439	174.5540158	1/1/2014
58	Moscow-Bhaktive	20601	0	3126	9589	4419	10202	0	0	0	55.755826	37.6173	1/1/2014
59	Krasnoyarsk 	20347.5	38	4293	5226	6068	14006	0	0	0	56.0152834	92.8932476	1/1/2014
60	Dallas 	19998.45	148	8469	1034	1561	3979	884	37	32	32.7766642	-96.7969879	1/1/2014
61	New Jersey-Edis	19848.5	681	9888	20	0	210	0	0	119	40.0583238	-74.4056612	1/1/2014
62	Laguna Beach 	19821.8	9	8784	278	355	5638	3844	1	66	33.5422475	-117.7831104	1/1/2014
63	New Vrajadham-H	19817.5	2	3942	4282	7482	11080	11405	0	0	null	null	1/1/2014
64	New Ekacakra	19340	0	2711	12928	0	3960	0	0	0	null	null	1/1/2014
65	Budapest 	19196.1	26	5100	3135	5364	9338	8446	0	0	47.497912	19.040235	1/1/2014
66	Seattle 	18621.75	0	8246	663	212	363	1700	250	14	47.6062095	-122.3320708	1/1/2014
67	Tirunelveli 	18426	-2	7565	85	47	7250	13750	0	0	8.7139126	77.7566523	1/1/2014
68	Sochi 	17996.25	11	4280	3956	6665	8591	0	0	0	43.6028079	39.7341543	1/1/2014
69	Berlin 	17877.5	7	5726	2848	7150	0	25	0	0	52.5200066	13.404954	1/1/2014
70	Phoenix	17704.6	-18	2023	474	500	51668	176	0	0	33.4483771	-112.0740373	1/1/2014
71	San Diego 	17516.5	-44	3604	7515	3374	4426	0	0	8	32.715738	-117.1610838	1/1/2014
72	Novosibirsk 	17506.5	-27	4796	4065	3631	8136	0	0	0	55.0083526	82.9357327	1/1/2014
73	Novorosiysk 	17280	-24	6095	2221	3237	5002	0	0	0	44.7154014	37.7619669	1/1/2014
74	Trivandrum 	15780.75	-25	6349	421	619	3509	3710	535	0	8.5241391	76.9366376	1/1/2014
75	New Talavan 	15667.5	51	6683	313	3057	1840	0	0	0	null	null	1/1/2014
76	Kuala Lumpur 	14647.9	0	3980	2212	2248	13046	904	0	77	3.139003	101.686855	1/1/2014
77	Sofia 	14455.5	70	4059	984	7810	5794	0	0	0	42.6977082	23.3218675	1/1/2014
78	Almaty 	13750.25	-13	4003	1495	2288	12391	75	0	0	43.2220146	76.8512485	1/1/2014
79	Dnepropetrovsk	13352.75	-3	5361	817	1337	4581	0	0	0	48.464717	35.046183	1/1/2014
80	Atlanta 	12972.95	-5	4265	2934	1415	2927	697	0	3	33.7489954	-84.3879824	1/1/2014
81	Kursk 	12690.75	97	3663	2766	3478	3439	0	0	0	51.7091957	36.1562241	1/1/2014
82	Milan 	12483.7	10	1980	0	17032	0	77	0	5	45.4654219	9.1859243	1/1/2014
83	Ekaterinburg 	12186.35	-5	3701	1802	1235	9425	86	0	0	56.8389261	60.6057025	1/1/2014
84	Washington D.C.Web	12145.05	-47	3112	1282	3168	12053	418	0	99	48.5328996	-123.0153845	1/1/2014
85	New Vrajadham-B	11961.25	28	353	6296	2647	14543	0	0	0	null	null	1/1/2014
86	Melbourne 	11370.55	-15	4917	549	420	2659	1128	0	0	28.0836269	-80.6081089	1/1/2014
87	Tyumen 	11266.75	166	3637	1114	4318	2879	0	0	0	57.1612975	65.5250172	1/1/2014
88	Ivanovo 	11205	90	2790	2057	3846	6580	0	0	0	57.0050671	40.9766453	1/1/2014
89	Kathmandu 	11074.25	0	4750	485	906	2545	0	0	0	27.7172453	85.3239605	1/1/2014
90	Rostov-na-Donu	11031.5	-9	2431	2986	3211	6312	0	0	0	47.2357137	39.701505	1/1/2014
91	Alachua 	10659.3	-4	1614	316	4783	16136	6854	1	19	29.7938144	-82.4944226	1/1/2014
92	Buenos Aires 	10561.75	-44	765	904	0	32511	0	0	0	-34.6036844	-58.3815591	1/1/2014
93	Kaunas 	10482	-18	2542	2033	536	12388	0	0	0	54.8985207	23.9035965	1/1/2014
94	Kanyakumari 	10453.5	-60	4003	1365	189	896	5892	92	8	8.0883064	77.5384507	1/1/2014
95	Govindadvipa 	10226.5	23	4115	0	3807	372	0	0	0	null	null	1/1/2014
96	TBB TSKP 	10196	-53	1944	624	7971	6794	0	0	0	null	null	1/1/2014
97	Kharkov 	10029.5	44	2489	208	2272	14830	0	0	0	49.9935	36.230383	1/1/2014
98	Heidelberg 	9878.6	42	3304	2114	2308	0	26	0	0	49.3987524	8.6724335	1/1/2014
99	Prabhupada Desh	9695.8	-30	3859	0	3140	0	1760	122	0	null	null	1/1/2014
100	Hillsborough	9617.75	53	3040	460	1086	9169	1677	17	49	36.0754183	-79.0997347	1/1/2014
101	Bhopal 	9430	-49	3876	270	373	4886	0	0	86	23.2599333	77.412615	1/1/2014
