68,Trivandrum ( ),Ind,12603.50(12),na,4707,418,1314,2358,13710,35*,30*
69,Rostov-na-Donu,Rus,12586.50( 4),-5%,2008,4157*,4660,8334,0,0,0
70,Yaroslavl (S),Rus,12313.50( 6),-7%,3468,4141,1701,1544,0,0,0
71,Buenos Aires (M,Arg,11633.75(11),17%,400*,2719,8822*,14815*,0,0,0
72,BTG/Krishna.com,USA,11586.50(12),3%,1851,368,761*,924,8286,1381*,42
73,Helsinki (S)   Web,Fin,11436.50(12),-25%,2098,7030,101*,182,1145,0,0
74,Tirunelveli (S),Ind,11180.25(12),-14%,5198*,97,66,2617,0,0,0
75,Villa Vrndavana,Ita,10981.95( 9),-57%,3853,0,6167,143,484*,57,0
76,Kharkov (S),Ukr,10806.00(12),22%,3026*,6,4684*,9624*,0,0,0
77,Denver (M)     Web,USA,10777.15(12),26%,2786*,2353*,1848*,4219*,8734*,0,4*
78,Kuala Lumpur (M,Mal,10642.80(12),32%,3343*,1278*,1162,8176*,538*,0,27*
79,Aravade (M),Ind,10326.25( 9),-79%,3717,193*,1028*,8741*,0,0,0
80,German Congrega,Ger,10099.40(11),165%,2334*,1672*,7310*,0,1044*,0,0
81,Odessa (S),Ukr,10088.50(12),79%,4404*,84,911,2964*,0,0,0
82,Allahabad (S),Ind,9106.25(12),na,3007*,1461*,1234*,4057*,0,0,0
83,Wellington (S),NZ,9043.50(12),9%,3452,1126*,249,3556*,0,0,4
84,Heidelberg (MS),Ger,8808.30(11),2%,2882*,1032,4019*,0,28,0,0
85,Boston (S)     Web,USA,8577.00(11),na,2867*,651,1998*,4772*,0,0,2
86,Omsk (S),Rus,8371.05( 4),39%,1862,1921*,2201*,5879*,1558,0,0
87,Herson (S),Ukr,8047.00(12),168%,2438*,111*,665,10910*,0,0,0
88,Lima (L)       Web,Per,7870.50(10),na,485*,17,35,27464*,0,0,0
89,Sydney-North (MWeb,Aus,7833.65( 5),71%,2870*,1264*,249,2819,4,0,0
90,New Orleans (S)Web,USA,7751.00(11),26%,326*,253*,9728*,7928,0,0,0
91,Munich (S)     Web,Ger,7750.00(11),40%,1766*,2266,3904,0,0,0,0
92,Sofia (MS),Bul,7611.25(12),17%,3110*,670,0,2885*,0,0,0
93,Ekaterinburg (M,Rus,7566.05( 6),92%,1588*,1486*,2401*,4587*,5568*,0,0
94,Sochi (S),Rus,7430.75( 4),-40%,550,1338,3198,13575,0,0,0
95,Itajai (S),Bra,7416.95( 8),59%,535,18*,246*,21029*,9487*,0,0
96,Chelyabinsk (S),Rus,7367.25( 9),66%,2372*,938*,1645*,3421*,75,0,0
97,Essentuki (S),Rus,7194.50( 3),-63%,1127,1948,3360,5250,0,0,0
98,Montreal (S)   Web,Can,7128.70(12),53%,1987*,310,2977*,5270*,79,7,3
99,Donetsk (M),Ukr,7035.50(12),35%,2283*,59,1447,6748*,0,0,0
100,New Jersey-Edis,USA,6758.25(12),122%,3125*,357*,0,605*,0,0,12*
101,Padayatra India,Ind,6527.00( 3),-79%,2291,73,196,7096,0,0,0
102,Vladivostok (M),Rus,6475.00( 4),8%,1235,1815*,2620*,3520*,0,0,0
103,Kinshasa ( ),Con,6447.00(12),9%,1900*,872*,2900*,1300*,0,0,0
104,Noyakhali (S),Ban,5993.50( 9),58%,2792*,217,141,488,0,0,0
105,Krasnoyarsk (S),Rus,5696.00( 2),90%,1524*,1284*,2713*,24,15,0,0
106,Washington D.C.Web,USA,5686.25( 9),26%,2092*,558*,1073,1051,1450*,0,3
107,Santiago (S),Chi,5646.25( 5),-64%,99,125,3385,13059,3280,20*,0
108,Barnaul (S),Rus,5571.55( 3),19%,909,1738*,2904*,2209*,113,0,0
109,Simferopol (S),Ukr,5500.25(12),-2%,1976,24,1568*,2961*,0,0,0
110,Novorosiysk (S),Rus,5489.25( 8),-27%,1672,740,1892*,1363,1185,0,0
111,Brazil BBT (S),Bra,5359.60( 5),na,485,1,52,17054,991,0,0
112,Krasnodar (S),Rus,5336.50( 3),22%,907*,763*,3460*,4118,0,0,0
113,Kishinev (MS),Ukr,4953.50(12),26%,525,1857*,2910*,2366*,0,0,0
114,Caracas (S),Ven,4920.25( 2),na,22,79*,3660,11869,0,0,0
115,Zurich (S)     Web,Swi,4812.50(12),-48%,917,1927,2038*,130,0,0,16
116,Irkutsk (S),Rus,4685.00( 2),na,1110*,660,1380*,4460*,0,0,0
117,Montevideo (MS),Uru,4674.50(12),na,31,9,0,18414,0,0,0
118,Bangkok (MS),Tha,4586.40(12),na,379*,409*,106,1952*,28784*,0,0
119,Vancouver (M)  Web,Can,4505.35(12),-24%,735,415*,2423,3863*,867,81,2
120,Osijek (MS),Cro,4499.00( 9),na,129*,2918*,865*,3562*,0,0,0
121,Honolulu (S)   Web,USA,4486.75(11),-13%,1283,0,3458*,767*,0,0,0
122,Alachua (S)    Web,USA,4387.05(11),-11%,547*,470,1345,7389,3033,0,2
123,Brisbane (S),Aus,4273.00( 7),-60%,990,1635,880,872,0,0,7
124,Izevsk (S),Rus,3975.90(12),na,1215*,437*,1735*,662*,759,0,0
125,New Jersey-TowaWeb,USA,3927.50( 1),na,1849,48,0,726,0,0,5*
126,Ivanovo (S),Rus,3780.25( 9),1%,640,810*,1564*,3613,50,0,0
127,Bologna (MS),Ita,3714.50( 2),29%,1395*,0,1849*,0,0,0,0
128,Benelux TSKP (S,Hol,3691.50( 2),na,1036,944,333,2036,0,0,1*
129,Malaysia TSKP (,Mal,3684.80( 9),-30%,950,207,276,5662*,243,0,6
130,Samara (M),Rus,3682.25( 2),-51%,824,911,1998,473,60,0,0
131,Miami (S)      Web,USA,3638.95(12),-6%,281*,486,943,6855,4013*,1*,2
132,Lenasia (S),SA,3596.25(11),40%,991*,313*,1027*,3151*,0,0,0
133,Rijeka (MS),Cro,3491.75( 4),na,735*,1134*,1149,1253,0,0,0
134,Almvik (L),Swe,3429.00(11),na,261,2785*,48,392*,0,0,0
135,Dallas (M)     Web,USA,3337.50(12),70%,710*,889*,1322*,1470*,0,0,10*
136,Pondicherry (S),Ind,3278.40(12),na,1447,86,214,590,439,0,0
137,Lisbon (S),Por,3122.25(12),-33%,373,509*,56,7357,0,0,0
138,Madrid (MS)    Web,Spa,3077.00(12),4%,709,909*,58*,2884*,0,0,0
139,Sydney-Darlingh,Aus,3009.00( 2),na,1065,450,204,1308,0,0,1*
