68,Essentuki (S),Rus,11840.00( 2),65%,1940*,2840*,5640*,9200*,0,0,0
69,Villa Vrndavana,Ita,11815.55(12),8%,3995*,0,7447*,13,361*,33,0
70,Rome (S)       Web,Ita,11540.60(10),-56%,5177,0,2368*,0,26*,0,0
71,Durban (L),SA,11471.95(12),-11%,2800*,891,1891*,15827,523*,6*,25
72,Irkutsk (S),Rus,11011.00( 1),135%,1860*,2320*,4480*,8620*,5760,0,0
73,Lenasia (S),SA,10786.50(12),200%,1979*,1464*,3166*,15126*,0,0,0
74,Prabhupada Desh,Ita,10762.50(12),-18%,3791,0,6313*,0,240,0,0
75,New Vrindavan (Web,USA,10735.50( 8),-19%,4506,953,1459,164,0,0,0
76,BTG/Krishna.com,USA,10323.50(12),-11%,1618,445*,776*,718,7290,1215,37
77,Terni (S),Ita,10304.40( 3),na,5141,0,44,0,4,0,0
78,Nigdi (S),Ind,10048.00( 1),na,5024,0,0,0,0,0,0
79,Kaunas (S),Lit,9878.75(10),na,1199,5480,500,7003,0,0,0
80,New Orleans (S)Web,USA,9815.75(12),27%,117,177,13503*,10613*,0,0,0
81,Kuala Lumpur (M,Mal,9457.85(12),-11%,2036,1142,1328*,13751*,1421*,0,34*
82,Tirunelveli (S),Ind,9411.50(12),-16%,4405,129*,17,1856,0,0,0
83,Vilnius (S),Lit,9365.75(10),na,851*,5459*,927*,6965*,0,0,0
84,Laguna Beach (S,USA,9041.40(12),na,2604*,1065*,281*,10278*,408,4,25*
85,Santiago (S),Chi,8879.20( 7),57%,172*,37,7075*,17720*,5307*,0,0
86,Radhadesh (L)  Web,Bel,8645.25( 9),304%,2461*,1645*,722*,4755*,5285,0,45*
87,Hyderabad (M),Ind,8238.00( 7),-77%,1687,432,492,4244,4500,750,16*
88,Helsinki (S)   Web,Fin,8129.95(12),-29%,1599,4831,63,125,382,0,0
89,Centro Goura Ni,Bra,7616.30( 3),na,428,1458,3404,14378,58,0,0
90,Krasnoyarsk (S),Rus,7387.75( 3),30%,1050,2737*,1789,4897*,4320*,0,0
91,Samara (M),Rus,7378.35( 2),100%,1979*,1366*,2124*,2859*,2776*,0,0
92,Montreal (S)   Web,Can,7293.75(10),2%,1484,293,4421*,7289*,0,0,0
93,Benelux TSKP (M,Hol,7101.50( 7),na,2321*,641,1278*,4318*,1000,0,14*
94,Heidelberg (MS),Ger,6999.30(11),-21%,2455,763,2509,0,718*,0,0
95,Itajai (S),Bra,6757.85(11),-9%,504,25*,371*,20093,5161,0,0
96,Mumbai-Mira Roa,Ind,6672.00( 3),-92%,3335,0,3,2,0,0,0
97,Sofia (MS),Bul,6629.00(12),-13%,2425,941*,0,3352*,0,0,0
98,Novorosiysk (S),Rus,6547.00( 1),19%,1360,1920*,3360*,0,2270*,0,0
99,Caracas (S),Ven,6536.00( 2),33%,167*,34,0,24672*,0,0,0
100,Dhaka-Swamibag,Ban,6013.70( 2),-86%,2608,151,152,340,4857,0,0
101,Montevideo (MS),Uru,5921.00(12),27%,64*,134*,4,22628*,0,0,2*
102,Brisbane (S),Aus,5802.25(11),36%,758,2978*,1402*,2429*,0,0,8*
103,Rostov-na-Donu,Rus,5780.00( 2),-54%,970,1090,2470,5580,1200,0,0
104,Wellington (S),NZ,5715.75(12),-37%,2093,941,221,1913,0,0,3
105,Munich (S)     Web,Ger,5627.00(10),-27%,902,1039,5568*,0,0,0,0
106,Brahmapur (MS),Ind,5531.00( 5),221%,2639*,57*,155,474,0,0,0
107,Boston (S)     Web,USA,5447.00( 8),-36%,1259,219,1298,8244*,0,0,1
108,Malaysia BBT MO,Mal,5397.75(11),167%,1608*,605*,278*,5311*,1100*,0,24*
109,Simferopol (S),Ukr,5363.50( 9),-2%,1973,145*,2013*,1064,0,0,0
110,Kharkov (S),Ukr,5225.50( 9),-52%,1714,123*,2512,1674,0,0,0
111,Vancouver (M)  Web,Can,5040.20(12),12%,919*,557*,2646*,3238,1211*,89*,6*
112,Valsad (S),Ind,4875.75( 3),na,2236*,297*,28,351*,50,0,0
113,Chelyabinsk (S),Rus,4849.00( 7),-34%,1226,1249*,687,3218,0,0,0
114,Krasnodar (S),Rus,4460.00( 2),-16%,700,950*,1600,3460,4450,0,0
115,Novokuznetzk (S,Rus,4449.50( 1),na,310,690,4910,1270,3670,0,0
116,Chicago (S)    Web,USA,4361.00( 7),na,1573,418,393,2402,0,0,0
117,Tokyo ( ),,4318.00( 7),na,1899,463,0,228,0,0,0
118,Donetsk (M),Ukr,4200.50( 8),-40%,952,23,3076*,2918,60,0,0
119,Bangkok (MS),Tha,4156.60(12),-9%,383*,25,622*,562,29141*,0,0
120,Shylet (L),Ban,4148.25( 1),-74%,1680,401,517,515,0,0,0
121,Perth (S)      Web,Aus,4086.75( 9),54%,663*,1716*,1314*,1551*,0,0,0
122,Odessa (S),Ukr,3988.50( 9),-60%,1535,30,1251*,1052,0,0,0
123,Sochi (S),Rus,3934.25( 2),-47%,583*,1061,1112,3945,1650,0,0
124,Izevsk (S),Rus,3792.25( 4),-5%,1431*,566*,341,715*,150,0,0
125,Ljubljana (S),Slo,3676.25( 3),na,1122,941,969,27,0,0,0
126,Bologna (MS),Ita,3665.50( 4),-1%,1415*,0,1671,0,0,0,0
127,Latinoamerica T,Lat,3660.75( 1),279%,296*,0,244,11787*,0,0,0
128,Rio de Janeiro,Bra,3579.00( 5),401%,169*,24,78,12634*,195*,0,0
129,Belo Horizonte Web,Bra,3567.25( 3),85%,446*,52*,70*,10353*,0,0,0
130,Alachua (S)    Web,USA,3482.70( 5),-21%,616*,221,1189,4074,4167*,0,0
131,Allahabad (S),Ind,3405.25( 9),-63%,1023,596,305,2443,0,0,0
132,Goloka Dhama (S,Ger,3288.00(12),235%,590*,675*,2866*,0,0,0,0
133,N-Tagil (S),Rus,3271.25( 6),40%,410,477*,1406,5085*,0,0,0
134,Miami (S)      Web,USA,3267.80(12),-10%,301*,330,681,6194,4380*,2*,3*
135,Malaysia TSKP (,Mal,3169.70(11),-14%,754,319*,326*,4608,277*,0,16*
136,Atlanta (S)    Web,USA,3131.00( 3),263%,1054*,659*,727*,2,0,0,0
137,Novosibirsk (M),Rus,3080.00( 1),na,360,640,1820,3240,0,0,0
138,Porto Alegre (MWeb,Bra,3025.80( 8),na,304,11,632*,8352*,28*,0,0
139,Krishna Culture,USA,2914.75(12),56%,1258*,106*,401*,277,142,2*,26*
140,Buenos Aires (M,Arg,2888.75( 3),-75%,69,712,1960,4235,0,0,0
141,Bhimavaram (S),Ind,2795.25( 3),-82%,1205,134,92,821,0,0,0
142,Nellore (M),Ind,2793.00(12),24%,0,1213*,396*,5528,0,0,0
143,Dallas (M)     Web,USA,2579.05(10),-23%,706,501,510,1233,148,20*,12*
144,Ottawa (MS)    Web,Can,2510.50( 3),46%,1142*,126*,43,76,72,12*,6*
145,Madrid (MS)    Web,Spa,2434.00(12),-21%,568,810,116*,1720,0,0,0
146,Osijek (MS),Cro,2370.00( 2),-47%,128,404,1901*,3038,0,0,0
147,Chattagram-Prab,Ban,2368.25( 1),-83%,917,348,227,291,0,0,0
148,Magnitogorsk (S,Rus,2344.75( 5),na,620*,498*,370,1687*,0,0,0
149,Zurich (S)     Web,Swi,2341.25(12),-51%,503,902,857,19,0,0,12
150,Vrajabhumi (S),Bra,2313.00( 2),na,160*,0,773,6426*,0,0,0
151,Tomsk (S),Rus,2247.00( 1),61%,290*,610,820,1920*,1670,0,0
152,Honolulu (S)   Web,USA,2239.25( 8),-50%,682,0,1641,219,0,0,0
153,Herson (S),Ukr,2134.25( 8),-73%,590,97,712*,2005,0,0,0
154,German Congrega,Ger,2096.00(11),-79%,786,97,675,0,895,0,0
155,Tyumen (S),Rus,2018.75( 6),333%,523*,599*,389*,249*,1170*,0,0
156,New York Queens,USA,2000.00( 3),67%,920*,25,80,380,0,0,0
157,Kishinev (MS),Ukr,1885.75( 8),-62%,266,544,1105,1029,0,0,0
158,Rovno (MS),Ukr,1884.75( 6),36%,588*,84*,1046*,407,0,0,0
159,Zagreb (MS),Cro,1877.25( 2),-9%,132,246,1559*,2351*,0,0,0
160,Kursk (S),Rus,1863.25( 1),179%,515*,405*,792*,129,0,0,0
161,Berkeley (S)   Web,USA,1819.30( 8),56%,390*,191*,757*,1744*,338,0,0
162,Kinshasa (S),Con,1789.50( 5),-72%,255,722,555,1100,31,1*,0
163,Ufa (S),Rus,1715.75( 4),-11%,659*,264,127,281,0,0,0
164,Vladivostok (M),Rus,1480.00( 1),-77%,160,370,620,1920,0,0,0
165,Trincomalee (MS,Sri,1470.00( 3),15%,476,322,132*,100,1050*,0,0
166,Boise (MS),USA,1421.50( 2),-42%,703,0,1,60,0,0,4
167,New Vrajadham-B,Bra,1419.35( 4),-3%,87*,110,155,4231,1,0,0
168,Ivanovo (S),Rus,1366.75( 4),-64%,226,117,985,1221,0,0,0
169,Accra (M),Gha,1359.90(11),-35%,83*,406,597,970,2469,0,0
170,Kampala (S),Uga,1341.00( 1),na,588,114,0,204,0,0,0
171,New Govardhana,Aus,1298.00( 1),105%,296*,408*,286*,620*,0,0,0
172,Vologda (MS),Rus,1195.75( 1),-23%,226,490,292,431,0,0,0
173,Kovrov (S),Rus,1166.30( 1),na,430,189,146,64,283,0,0
174,Campina Grande,Bra,1163.90( 2),999%,71*,0,186*,3632*,209*,0,0
175,Athens (MS),Gre,1137.50( 6),na,4,0,2253,12,0,0,0
176,Jeleznogorsk (S,Rus,1110.20( 6),-37%,126,363,467,1000*,117,0,0
177,Skudai (S),Mal,1078.50( 6),18%,366*,177*,87*,494,25,0,5*
178,Blagovestensk (,Rus,1060.75( 1),na,8,894,281,41,0,0,0
