Rank	 Temple	 Points	 Change	 MahaBig Books	 Big Books	 Medium Books	 Small Books	 Mags	 BTG Subs	 Sets	 Latitude	 Longitude	Year
1	New Delhi 	782895.9	0	369931	8418	5219	74726	133249	0	583	28.6139391	77.2090212	2010
2	Mayapur 	559223	0	216794	18983	69838	84532	506000	0	4207	23.4232013	88.388264	2010
3	Mumbai-Juhu 	469177.6	0	216447	7345	26469	59244	8931	0	621	19.098821	72.8320717	2010
4	New Delhi	419425.25	0	196406	7368	5653	37575	46120	1270	0	28.6139391	77.2090212	2010
5	Mumbai-ChowpattWeb	237669.35	0	96159	10727	8542	88265	68697	746	208	19.0759837	72.8776559	2010
6	Tirupati 	222428.35	0	89082	8176	2382	92633	104889	658	0	13.6287557	79.4191795	2010
7	Vrindavan 	191742	0	61897	35870	0	28142	84	14	372	27.5650088	77.6593394	2010
8	Moscow 	179092.5	0	50601	35385	45335	43920	88580	0	0	55.755826	37.6173	2010
9	Ahmedabad 	137370	0	66815	1101	2512	5034	1245	0	35	23.022505	72.5713621	2010
10	Los Angeles 	121511.05	0	31813	23926	18823	84161	17473	400	6	34.0522342	-118.2436849	2010
11	Pune 	111805.3	0	47804	1440	1928	40624	36373	0	111	18.5204303	73.8567437	2010
12	Surat 	110240	0	41153	3559	2938	11804	48500	7950	85	21.1702401	72.8310607	2010
13	RupanugaVedicCoWeb	100928.4	0	39171	14366	5072	22590	369	0	5	null	null	2010
14	Catania TSKP 	98147.7	0	44719	0	17419	0	2	0	0	null	null	2010
15	Mumbai-Mira Roa	88492	0	44246	0	0	0	0	0	0	19.2871393	72.8688419	2010
16	VV Nagar 	79031.25	0	14410	1044	870	26389	106444	16574	18	22.5512626	72.925386	2010
17	San Jose	66167.5	0	27087	4292	405	29996	0	0	15	37.3382082	-121.8863286	2010
18	Chandigarh 	64157.25	0	29159	2847	2375	3553	2093	313	0	30.7333148	76.7794179	2010
19	Salem 	59514.4	0	27301	1389	156	4544	9528	714	118	42.51954	-70.8967155	2010
20	London-Soho 	54577.7	0	20048	3522	13229	17378	7	0	43	51.5136143	-0.1365486	2010
21	Calcutta 	49941.4	0	23439	1013	1452	4198	2749	0	45	22.572646	88.363895	2010
22	Bhaktivedanta MWeb	49098.25	0	19398	2054	7657	17679	0	0	52	null	null	2010
23	Dhaka-Swamibag	43778.35	0	19584	1150	632	2115	26156	0	0	23.7146728	90.42202	2010
24	Mexico City 	42811.5	0	1677	646	0	13342	0	0	0	19.4326077	-99.133208	2010
25	Chennai 	41169.2	0	16594	1926	536	20616	5990	18	0	13.0826802	80.2707184	2010
26	Nizhny Novgorod	39478.9	0	11580	13636	3322	2620	3669	0	0	56.2965039	43.9360589	2010
27	Baroda 	39192.3	0	17600	0	1970	4650	7228	580	19	22.3071588	73.1812187	2010
28	Ujjain 	37061.8	0	13795	3631	5396	12552	48	0	56	23.1793013	75.7849097	2010
29	Hyderabad 	36432	0	10780	1689	2313	8236	18996	3166	9	17.385044	78.486671	2010
30	Kathmandu 	34869.25	0	15202	903	2791	8667	0	0	0	27.7172453	85.3239605	2010
31	St. Petersburg Web	33858	0	11537	5038	8668	5648	0	0	0	27.7518284	-82.6267345	2010
32	Kiev 	33182.3	0	10112	444	14722	20510	258	0	0	50.4501	30.5234	2010
33	Coimbatore 	32876.5	0	12365	1056	285	12632	28600	200	0	11.0168445	76.9558321	2010
34	Kazan 	30959	0	7029	8753	10448	11696	0	0	0	55.8304307	49.0660806	2010
35	Auckland Loft 	30865.25	0	12219	2860	1135	11999	0	0	15	-36.7777439	174.5540158	2010
36	Budapest 	30860.2	0	5714	4578	24737	2560	18457	0	5	47.497912	19.040235	2010
37	Karuna Bhavan 	29386.25	0	4835	13678	1692	20349	126	21	0	10.01486	76.303467	2010
38	Almaty 	29072.5	0	7400	4088	7759	25122	245	0	0	43.2220146	76.8512485	2010
39	Prague 	26443.1	0	2297	18008	1247	12646	561	0	0	50.0755381	14.4378005	2010
40	New Ekacakra	26333.5	0	1663	22347	0	2642	0	0	0	null	null	2010
41	Rome 	26011.9	0	12643	0	1451	0	4	0	0	41.9027835	12.4963655	2010
42	Dnepropetrovsk	24964.6	0	10084	68	5675	7440	311	0	0	48.464717	35.046183	2010
43	Vellore 	24949.5	0	9266	1021	132	920	22657	1492	58	12.9165167	79.1324986	2010
44	Madurai 	23419.25	0	11388	59	99	2139	0	0	0	9.9252007	78.1197754	2010
45	New Vrajadham-H	23403.35	0	6870	1734	11406	2733	15431	0	2	null	null	2010
46	Minsk 	22142.35	0	4210	6694	6031	15617	1086	0	0	53.9045398	27.5615244	2010
47	Leipzig 	21581.7	0	6012	4390	10328	0	37	0	0	51.3396955	12.3730747	2010
48	Bali 	20337.6	0	6998	1412	2962	10058	9341	0	0	-8.4095178	115.188916	2010
49	Nairobi 	16538.8	0	3249	6563	1114	11594	223	0	119	-1.2920659	36.8219462	2010
50	Perm 	16406.6	0	7171	225	2812	1076	1646	0	0	58.0296813	56.2667916	2010
51	Milan 	16398.2	0	3567	0	17696	0	1122	160	0	45.4654219	9.1859243	2010
52	Shylet 	16172.25	0	7062	963	1016	2243	165	0	0	24.904539	91.8611011	2010
53	New York 26 2nd	16001	0	3622	4346	3135	11374	0	0	0	40.7244505	-73.9903594	2010
54	Toronto 	15856.15	0	4337	2095	3228	12783	618	49	60	43.653226	-79.3831843	2010
55	Bhimavaram 	15547.5	0	7420	151	0	2226	0	0	23	16.544893	81.521241	2010
56	Kanyakumari 	15395.95	0	5419	761	159	997	9279	1337	17	8.0883064	77.5384507	2010
57	New Talavan 	15108.75	0	5606	0	6762	2063	0	0	0	null	null	2010
58	Berlin 	15059.9	0	3601	2232	10666	0	2929	0	0	52.5200066	13.404954	2010
59	Habarovsk 	14050	0	2830	3730	6440	5760	0	0	0	48.5027313	135.0662599	2010
60	Chattagram-Prab	13934.35	0	5730	1057	991	2047	4101	0	0	null	null	2010
61	St. Louis 	13592.05	0	5232	996	1037	5769	1713	0	0	38.6270025	-90.1994042	2010
62	San Diego 	13457.5	0	3503	4338	1099	6256	0	0	0	32.715738	-117.1610838	2010
63	New Vrindavan 	13323.55	0	4919	1855	2970	505	193	0	0	39.9667283	-80.6067728	2010
64	Melbourne 	13265.1	0	4761	1967	799	5506	1	0	0	28.0836269	-80.6081089	2010
65	Franco da Rocha	13075.3	0	932	0	238	43030	3348	0	0	-23.3233727	-46.7294577	2010
66	Prabhupada Desh	13069.55	0	5045	0	5750	1	834	11	0	null	null	2010
67	Durban 	12944.95	0	2477	1443	1378	23355	202	0	52	-29.8586804	31.0218404	2010
68	Trivandrum 	12603.5	0	4707	418	1314	2358	13710	35	30	8.5241391	76.9366376	2010
69	Rostov-na-Donu	12586.5	0	2008	4157	4660	8334	0	0	0	47.2357137	39.701505	2010
70	Yaroslavl 	12313.5	0	3468	4141	1701	1544	0	0	0	57.6260744	39.8844708	2010
71	Buenos Aires 	11633.75	0	400	2719	8822	14815	0	0	0	-34.6036844	-58.3815591	2010
72	BTG/Krishna.com	11586.5	0	1851	368	761	924	8286	1381	42	null	null	2010
73	Helsinki 	11436.5	0	2098	7030	101	182	1145	0	0	60.1733244	24.9410248	2010
74	Tirunelveli 	11180.25	0	5198	97	66	2617	0	0	0	8.7139126	77.7566523	2010
75	Villa Vrndavana	10981.95	0	3853	0	6167	143	484	57	0	27.4966225	77.6920312	2010
76	Kharkov 	10806	0	3026	6	4684	9624	0	0	0	49.9935	36.230383	2010
77	Denver 	10777.15	0	2786	2353	1848	4219	8734	0	4	39.7392358	-104.990251	2010
78	Kuala Lumpur 	10642.8	0	3343	1278	1162	8176	538	0	27	3.139003	101.686855	2010
79	Aravade 	10326.25	0	3717	193	1028	8741	0	0	0	17.1018838	74.6707823	2010
80	German Congrega	10099.4	0	2334	1672	7310	0	1044	0	0	null	null	2010
81	Odessa 	10088.5	0	4404	84	911	2964	0	0	0	46.482526	30.7233095	2010
82	Allahabad 	9106.25	0	3007	1461	1234	4057	0	0	0	25.4358011	81.846311	2010
83	Wellington 	9043.5	0	3452	1126	249	3556	0	0	4	-41.2864603	174.776236	2010
84	Heidelberg 	8808.3	0	2882	1032	4019	0	28	0	0	49.3987524	8.6724335	2010
85	Boston 	8577	0	2867	651	1998	4772	0	0	2	42.3600825	-71.0588801	2010
86	Omsk 	8371.05	0	1862	1921	2201	5879	1558	0	0	54.9884804	73.3242362	2010
87	Herson 	8047	0	2438	111	665	10910	0	0	0	46.635417	32.616867	2010
88	Lima 	7870.5	0	485	17	35	27464	0	0	0	-12.046374	-77.0427934	2010
89	Sydney-North 	7833.65	0	2870	1264	249	2819	4	0	0	-33.8674869	151.2069902	2010
90	New Orleans 	7751	0	326	253	9728	7928	0	0	0	29.9510658	-90.0715323	2010
