Rank	 Temple	 Points	 Change	 MahaBig Books	 Big Books	 Medium Books	 Small Books	 Mags	 BTG Subs	 Sets	 Latitude	 Longitude	Year
91	Munich 	7750	0	1766	2266	3904	0	0	0	0	48.1351253	11.5819806	2010
92	Sofia 	7611.25	0	3110	670	0	2885	0	0	0	42.6977082	23.3218675	2010
93	Ekaterinburg 	7566.05	0	1588	1486	2401	4587	5568	0	0	56.8389261	60.6057025	2010
94	Sochi 	7430.75	0	550	1338	3198	13575	0	0	0	43.6028079	39.7341543	2010
95	Itajai 	7416.95	0	535	18	246	21029	9487	0	0	-26.9105964	-48.6709514	2010
96	Chelyabinsk 	7367.25	0	2372	938	1645	3421	75	0	0	55.1644419	61.4368431	2010
97	Essentuki 	7194.5	0	1127	1948	3360	5250	0	0	0	44.0455121	42.8575232	2010
98	Montreal 	7128.7	0	1987	310	2977	5270	79	7	3	45.5016889	-73.567256	2010
99	Donetsk 	7035.5	0	2283	59	1447	6748	0	0	0	48.015883	37.80285	2010
100	New Jersey-Edis	6758.25	0	3125	357	0	605	0	0	12	40.0583238	-74.4056612	2010
101	Padayatra India	6527	0	2291	73	196	7096	0	0	0	null	null	2010
102	Vladivostok 	6475	0	1235	1815	2620	3520	0	0	0	43.1737387	132.0064506	2010
103	Kinshasa 	6447	0	1900	872	2900	1300	0	0	0	-4.4419311	15.2662931	2010
104	Noyakhali 	5993.5	0	2792	217	141	488	0	0	0	22.8246384	91.1017334	2010
105	Krasnoyarsk 	5696	0	1524	1284	2713	24	15	0	0	56.0152834	92.8932476	2010
106	Washington D.C.Web	5686.25	0	2092	558	1073	1051	1450	0	3	48.5328996	-123.0153845	2010
107	Santiago 	5646.25	0	99	125	3385	13059	3280	20	0	42.8782132	-8.5448445	2010
108	Barnaul 	5571.55	0	909	1738	2904	2209	113	0	0	53.3547792	83.7697832	2010
109	Simferopol 	5500.25	0	1976	24	1568	2961	0	0	0	44.952117	34.102417	2010
110	Novorosiysk 	5489.25	0	1672	740	1892	1363	1185	0	0	44.7154014	37.7619669	2010
111	Brazil BBT 	5359.6	0	485	1	52	17054	991	0	0	null	null	2010
112	Krasnodar 	5336.5	0	907	763	3460	4118	0	0	0	45.0392674	38.987221	2010
113	Kishinev 	4953.5	0	525	1857	2910	2366	0	0	0	47.0104529	28.8638103	2010
114	Caracas 	4920.25	0	22	79	3660	11869	0	0	0	10.4696404	-66.8037185	2010
115	Zurich 	4812.5	0	917	1927	2038	130	0	0	16	47.3686498	8.5391825	2010
116	Irkutsk 	4685	0	1110	660	1380	4460	0	0	0	52.2869741	104.3050183	2010
117	Montevideo 	4674.5	0	31	9	0	18414	0	0	0	-34.9011127	-56.1645314	2010
118	Bangkok 	4586.4	0	379	409	106	1952	28784	0	0	13.7563309	100.5017651	2010
119	Vancouver 	4505.35	0	735	415	2423	3863	867	81	2	45.6387281	-122.6614861	2010
120	Osijek 	4499	0	129	2918	865	3562	0	0	0	45.5549624	18.6955144	2010
121	Honolulu 	4486.75	0	1283	0	3458	767	0	0	0	21.3069444	-157.8583333	2010
122	Alachua 	4387.05	0	547	470	1345	7389	3033	0	2	29.7938144	-82.4944226	2010
123	Brisbane 	4273	0	990	1635	880	872	0	0	7	-27.4710107	153.0234489	2010
124	Izevsk 	3975.9	0	1215	437	1735	662	759	0	0	56.8618601	53.2324285	2010
125	New Jersey-TowaWeb	3927.5	0	1849	48	0	726	0	0	5	40.0583238	-74.4056612	2010
126	Ivanovo 	3780.25	0	640	810	1564	3613	50	0	0	57.0050671	40.9766453	2010
127	Bologna 	3714.5	0	1395	0	1849	0	0	0	0	44.494887	11.3426163	2010
128	Benelux TSKP 	3691.5	0	1036	944	333	2036	0	0	1	null	null	2010
129	Malaysia TSKP 	3684.8	0	950	207	276	5662	243	0	6	4.210484	101.975766	2010
130	Samara 	3682.25	0	824	911	1998	473	60	0	0	53.2415041	50.2212463	2010
131	Miami 	3638.95	0	281	486	943	6855	4013	1	2	25.7616798	-80.1917902	2010
132	Lenasia 	3596.25	0	991	313	1027	3151	0	0	0	-26.3335179	27.8663075	2010
133	Rijeka 	3491.75	0	735	1134	1149	1253	0	0	0	45.3270631	14.442176	2010
134	Almvik 	3429	0	261	2785	48	392	0	0	0	55.5581458	13.0216183	2010
135	Dallas 	3337.5	0	710	889	1322	1470	0	0	10	32.7766642	-96.7969879	2010
136	Pondicherry 	3278.4	0	1447	86	214	590	439	0	0	11.9138598	79.8144722	2010
137	Lisbon 	3122.25	0	373	509	56	7357	0	0	0	38.7222524	-9.1393366	2010
138	Madrid 	3077	0	709	909	58	2884	0	0	0	40.4167754	-3.7037902	2010
139	Sydney-Darlingh	3009	0	1065	450	204	1308	0	0	1	-33.8924957	151.1832993	2010
140	Sekret 	2945.25	0	578	1187	129	2151	0	0	0	49.4314049	13.2629249	2010
141	Barisal 	2778.5	0	1121	257	170	770	20	0	0	22.7029212	90.3465971	2010
142	Perth 	2648.5	0	466	785	1286	1142	30	0	1	-31.9535132	115.8570471	2010
143	Phoenix	2491	0	1130	29	19	770	0	0	1	33.4483771	-112.0740373	2010
144	Seberang Jaya 	2473.2	0	397	194	196	5462	217	0	5	5.3818942	100.3989242	2010
145	Pretoria 	2472.5	0	482	276	765	3400	0	0	19	-25.7478676	28.2292712	2010
146	Boise 	2453.75	0	1134	34	14	569	25	0	4	43.6187102	-116.2146068	2010
147	N-Tagil 	2333.45	0	479	209	1595	1467	22	0	0	57.9371145	59.9600363	2010
148	Zaporozhye 	2297	0	828	34	475	1478	0	0	0	47.8388	35.139567	2010
149	Nellore 	2256.5	0	0	647	340	5758	0	0	0	14.4425987	79.986456	2010
150	Radhadesh 	2139.5	0	422	205	341	3680	0	0	5	null	null	2010
151	Accra 	2079.75	0	44	701	823	1183	5835	0	0	5.6037168	-0.1869644	2010
152	Zagreb 	2073.5	0	430	503	372	2098	0	0	0	45.8150108	15.981919	2010
153	Malaysia BBT MO	2024.2	0	698	121	176	1600	192	0	7	4.210484	101.975766	2010
154	Belo Horizonte Web	1930.7	0	157	4	15	6066	887	0	0	-19.9052969	-43.9635593	2010
155	Ufa 	1917.5	0	519	394	594	754	0	0	0	54.7387621	55.9720554	2010
156	Krishna Culture	1862.5	0	746	75	364	360	235	0	18	36.66325	-4.507273	2010
157	Cape Town 	1841.3	0	363	195	229	3222	3	0	3	-33.9248685	18.4240553	2010
158	Jeleznogorsk 	1753.2	0	348	537	610	762	247	0	0	52.3332892	35.3669551	2010
159	Brahmapur 	1722.2	0	614	39	219	1316	72	5	0	19.3149618	84.7940911	2010
160	Ottawa 	1722	0	678	45	477	130	60	10	2	45.4215296	-75.6971931	2010
161	Jessore 	1713.75	0	730	141	85	245	90	0	0	23.1777682	89.1801225	2010
162	Chattagram-Pund	1712.25	0	711	140	123	347	20	0	0	null	null	2010
163	Alchevsk 	1674.5	0	425	72	390	2230	0	0	0	48.4713393	38.8134407	2010
164	Vladimir 	1622.7	0	563	148	156	1078	12	0	0	56.1445956	40.4178686	2010
165	Baku 	1590	0	370	420	0	1720	0	0	0	40.4092617	49.8670924	2010
166	Vologda 	1546.25	0	274	558	458	845	0	0	0	59.2180665	39.8978052	2010
167	Korsnas Gard 	1487.75	0	223	411	200	2123	0	0	0	59.1542355	17.8030035	2010
168	New Vrajadham-B	1470.5	0	39	0	0	5570	0	0	0	null	null	2010
169	Sao Paulo 	1451.55	0	556	22	65	225	2288	0	0	-23.5505199	-46.6333094	2010
170	New Gokula-Aust	1443.75	0	440	238	432	427	30	0	0	null	null	2010
171	Penang 	1433.45	0	301	200	131	2255	22	0	1	5.414921	100.3297612	2010
172	Tomsk 	1395	0	270	0	1240	940	0	0	0	56.5010397	84.9924506	2010
173	Rovno 	1383.5	0	358	8	870	898	0	0	0	50.6199	26.251617	2010
174	Magnitogorsk 	1327	0	298	204	568	944	70	0	0	53.4129429	59.0016233	2010
175	Voronej 	1285.7	0	466	161	267	216	52	0	0	51.6754966	39.2088823	2010
176	Trincomalee 	1275.9	0	507	0	109	614	539	0	6	8.5922	81.1967958	2010
177	Valsad 	1273	0	528	115	127	154	0	0	0	20.5992349	72.9342451	2010
178	Centro Studi Bh	1268.5	0	583	0	205	0	0	0	0	-23.3571189	-51.1397419	2010
179	New York Queens	1200.75	0	400	50	100	1203	0	0	0	40.7282239	-73.7948516	2010
180	Auckland New Va	1200	0	600	0	0	0	0	0	60	37.4315734	-78.6568942	2010
181	Thakurgong 	1184.8	0	487	94	94	262	43	0	0	26.4278342	88.1266983	2010
182	Berkeley 	1168.6	0	225	158	567	870	596	0	0	37.8715926	-122.272747	2010
183	Rangpur 	1107	0	462	85	72	248	0	0	0	25.7438916	89.275227	2010
184	Tampa Bay 	1106.8	0	107	46	71	1730	3788	0	3	27.7495159	-82.5834947	2010
185	Kirov 	1048.6	0	314	154	234	562	91	0	0	58.6035321	49.6667983	2010
186	Bukit-Mertajam	995	0	270	78	44	1364	140	0	2	5.365458	100.4590091	2010
187	Goloka Dhama 	982.6	0	57	320	1086	0	56	0	0	20.7366812	86.2894149	2010
188	Malaga 	976.25	0	87	373	212	1293	0	0	0	36.721261	-4.4212655	2010
189	Latinoamerica T	965	0	1	0	0	3852	0	0	0	-12.1484045	-76.9468951	2010
190	Blantyre 	958.5	0	415	54	0	298	0	0	0	-15.7666707	35.0167866	2010
191	Vilnius 	941.5	0	40	576	224	694	0	0	0	54.6871555	25.2796514	2010
192	Lipezk 	934.5	0	220	330	232	182	30	0	0	52.6121996	39.5981225	2010
193	Skudai 	917.25	0	333	70	60	605	0	0	1	1.537909	103.6622279	2010
194	Rybinsk 	897	0	200	221	85	730	510	0	0	58.057486	38.8116968	2010
195	Atlanta 	862	0	276	33	6	1096	0	0	0	33.7489954	-84.3879824	2010
196	Gita-nagari 	842.5	0	25	0	730	1710	0	0	0	29.3793099	78.1357762	2010
197	Hobiganj 	840.5	0	324	116	72	126	90	0	0	24.3840055	91.4168974	2010
198	Le Carnaval Spi	820.9	0	206	141	517	36	4	0	1	null	null	2010
199	New Gokula-Braz	800.4	0	91	0	4	2220	614	0	0	null	null	2010
200	Sarov 	787.35	0	228	246	111	117	6	0	0	54.9342792	43.3252503	2010
201	Halifax 	773.5	0	140	36	647	536	0	0	0	53.72702	-1.85754	2010
202	New Vrajamandal	757.25	0	0	0	31	2967	0	0	0	null	null	2010
203	Phoenix	738.75	0	210	205	50	355	0	0	6	33.4483771	-112.0740373	2010
204	Manila 	727.5	0	0	304	0	758	2340	0	0	14.5995124	120.9842195	2010
205	Rio de Janeiro	713.7	0	70	0	0	2290	12	0	0	-22.9068467	-43.1728965	2010
206	Kulim 	705.1	0	78	139	58	1468	141	0	4	5.371742	100.5553372	2010
207	Guatemala City	692	0	1	0	1380	0	0	0	0	14.6349149	-90.5068824	2010
208	Belgorod 	673	0	120	171	326	396	0	0	0	50.5997134	36.5982621	2010
209	Kursk 	666.9	0	115	142	410	358	4	0	0	51.7091957	36.1562241	2010
210	Nikolaev 	665.75	0	171	14	317	605	0	0	0	46.975033	31.994583	2010
211	Coxbazar 	661.7	0	265	56	65	134	97	0	0	21.4394636	92.0077316	2010
212	Sungei Petani 	643.5	0	152	113	93	720	0	0	1	5.643589	100.4894179	2010
213	Lugansk 	641.25	0	212	0	96	677	0	0	0	48.574041	39.307815	2010
214	New Govardhana	633.25	0	131	105	264	537	0	0	0	28.5490104	77.2515992	2010
215	Tiraspol 	606.75	0	223	4	201	225	0	0	0	46.848185	29.596805	2010
216	Laguna Beach 	562.75	0	205	54	20	55	90	15	2	33.5422475	-117.7831104	2010
217	Nibong Tebal 	543.75	0	121	32	117	845	0	0	0	5.170128	100.4792231	2010
218	Klang 	538.05	0	94	116	41	845	23	0	1	3.044917	101.4455621	2010
219	Volzhskiy 	478	0	203	9	0	252	0	0	0	48.8176494	44.7707294	2010
220	Karlovac 	473.25	0	44	237	139	315	0	0	0	45.4928973	15.5552683	2010
221	Tyumen 	465.9	0	182	21	125	70	9	0	0	57.1612975	65.5250172	2010
222	Mafikeng 	460.25	0	1	32	95	1515	0	0	0	-25.855978	25.64031	2010
223	San Jose 	435	0	0	0	870	0	0	0	0	37.3382082	-121.8863286	2010
224	Khmelnitsky 	428.5	0	105	53	315	32	0	0	0	49.422983	26.987133	2010
225	Vinniza 	427.5	0	134	65	55	268	0	0	0	49.233083	28.468217	2010
226	Taiping 	425	0	117	74	71	320	15	0	0	4.851932	100.7416339	2010
227	Nava-Nrsimha-Ks	398.3	0	71	38	435	0	8	0	0	39.011902	-98.4842465	2010
228	Langenthal 	376.5	0	45	227	119	0	0	0	0	47.2139734	7.7847334	2010
229	Ternopol 	363	0	56	16	120	700	0	0	0	49.553517	25.594767	2010
230	Swansea 	358	0	42	65	174	488	0	0	0	51.62144	-3.943646	2010
231	Ryazan 	352.5	0	147	26	60	10	0	0	0	54.6095418	39.7125857	2010
232	Hillsborough 	344.75	0	112	28	90	171	50	0	0	36.0754183	-79.0997347	2010
233	Kuching 	328.65	0	139	18	21	85	9	0	3	1.56	110.345	2010
234	Tula 	328.5	0	114	55	60	62	0	0	0	54.204836	37.6184915	2010
235	Ipoh 	321.75	0	139	35	7	21	0	0	0	4.597479	101.090106	2010
236	Salvador 	321.7	0	61	0	23	624	322	0	0	13.794185	-88.89653	2010
237	Buntong 	296.5	0	87	20	20	370	0	0	4	4.5936913	101.0692707	2010
238	Cologne	285.5	0	29	179	86	0	55	0	0	50.937531	6.9602786	2010
239	Berezniki 	273.3	0	96	33	29	114	53	0	0	59.4131827	56.7849318	2010
240	Smolensk 	270.5	0	43	99	171	0	0	0	0	54.7903112	32.0503663	2010
241	Natal 	242	0	29	0	3	656	185	0	0	-5.7792569	-35.200916	2010
242	Chernigov 	238.3	0	82	18	55	112	8	0	0	51.4982	31.28935	2010
243	Pecs 	237.9	0	28	23	2	522	274	0	0	46.0727345	18.232266	2010
244	Florianopolis 	235.85	0	30	0	20	535	321	0	0	-27.5953778	-48.5480499	2010
245	Wiesbaden 	228	0	114	0	0	0	0	0	0	50.0782184	8.2397608	2010
246	Dibrugarh 	220	0	66	30	0	232	0	0	0	27.4728327	94.9119621	2010
247	Seremban 	214.5	0	13	13	17	634	85	0	0	2.725889	101.9378239	2010
248	Saltillo 	212	0	6	0	0	800	0	0	0	25.4267244	-100.9954254	2010
249	Amsterdam 	203.5	0	58	32	32	158	0	0	0	52.3702157	4.8951679	2010
250	Seminario Hare	186.25	0	11	0	5	615	80	0	0	null	null	2010
251	Kaluga 	172.75	0	38	5	148	71	0	0	0	54.5518584	36.2850973	2010
252	Rotterdam 	170	0	65	9	12	100	0	0	0	51.9244201	4.4777325	2010
253	Mentakab 	162	0	81	0	0	0	0	0	0	3.484562	102.350255	2010
254	Adelaide 	157.5	0	70	9	11	12	0	0	0	-34.9286212	138.5999594	2010
255	Medellin 	153.75	0	2	3	1	585	0	0	0	6.2530408	-75.5645737	2010
256	Tharagong 	147	0	51	23	19	50	0	0	0	null	null	2010
257	Gaborone 	141.95	0	23	17	42	223	22	0	0	-24.6282079	25.9231471	2010
258	Scarborough 	136.45	0	59	10	4	25	2	0	0	54.283113	-0.399752	2010
259	Bedong 	133.5	0	46	0	7	152	0	0	0	5.7288367	100.5071369	2010
260	Curitiba 	133.25	0	9	2	6	437	10	0	0	-25.4289541	-49.267137	2010
261	Soweto 	128.5	0	44	15	5	92	0	0	0	-26.2485377	27.8540323	2010
262	Melaka 	127.3	0	50	10	0	64	13	0	0	2.189594	102.2500868	2010
263	Vicosa 	127.25	0	23	3	7	299	0	0	0	-20.7548659	-42.8785788	2010
264	Cali 	123.5	0	0	57	26	214	0	0	0	3.4516467	-76.5319854	2010
265	Porto Alegre 	110	0	0	0	65	300	25	0	0	-30.0346471	-51.2176584	2010
266	Alor Setar 	104.75	0	43	0	0	75	0	0	0	6.1248	100.3678178	2010
267	Khulna 	104.25	0	50	1	1	11	0	0	0	22.845641	89.5403279	2010
268	Permas Jaya 	100.5	0	50	0	1	0	0	0	0	1.4959944	103.7973547	2010
269	Rio Claro 	100	0	0	0	0	400	0	0	0	-22.4149023	-47.5651394	2010
270	Port Dickson 	97.25	0	21	18	7	135	0	0	0	2.52254	101.7962932	2010
271	Kumasi 	93.85	0	2	25	58	87	141	0	0	6.6666004	-1.6162709	2010
272	Luzk 	83.5	0	17	0	60	78	0	0	0	50.747233	25.325383	2010
273	Lvov 	73	0	27	0	11	54	0	0	0	49.839683	24.029717	2010
274	Portal do Avata	69	0	15	0	28	40	150	0	0	null	null	2010
275	Caruaru 	68.8	0	3	0	7	216	53	0	0	-8.2849639	-35.9701874	2010
276	Campina Grande	65.3	0	8	0	5	170	43	0	0	-7.2223667	-35.8734667	2010
277	Brazil Namahatt	61	0	26	0	7	8	35	0	0	null	null	2010
278	Port Elizabeth	60.75	0	0	54	10	7	0	0	7	-33.7139247	25.5207358	2010
279	Kuantan 	53.8	0	20	6	0	26	13	0	0	3.816667	103.333333	2010
280	Severodvinsk 	49	0	12	2	19	14	100	0	0	64.5661757	39.8505981	2010
281	Gelugor 	48.5	0	13	2	5	72	0	0	0	5.369118	100.3096991	2010
282	Sungei Siput 	48	0	12	24	0	0	0	0	0	4.819012	101.0737181	2010
283	Marilia 	47.1	0	13	2	4	68	1	0	0	-22.2175846	-49.9505291	2010
284	Taman Sentosa 	42.3	0	5	5	0	108	3	0	0	1.492602	103.7677208	2010
285	Santo Domingo 	40	0	0	29	2	40	0	0	0	18.4860575	-69.9312117	2010
286	Guarulhos 	38.5	0	14	0	1	40	0	0	0	-23.4542498	-46.5337925	2010
287	Obninsk 	36	0	18	0	0	0	0	0	0	55.1170375	36.5970818	2010
288	Panama City 	35.75	0	3	0	0	119	0	0	0	9.1011785	-79.4028639	2010
289	Kluang 	34.5	0	11	5	0	30	0	0	1	2.030068	103.3184639	2010
290	Harrisburg 	31.2	0	7	0	3	42	52	0	0	40.2731911	-76.8867008	2010
291	Hilo 	30	0	0	0	0	120	0	0	0	19.7297222	-155.09	2010
292	Fortaleza 	28.5	0	8	0	5	20	50	0	0	-3.7318616	-38.5266704	2010
293	Pskov 	24.75	0	9	2	3	13	0	0	0	57.8166994	28.3344734	2010
294	Teluk Intan 	24.4	0	1	13	3	22	24	0	0	4.022424	101.0206249	2010
295	Sitiawan 	24	0	0	24	0	0	0	0	0	4.216825	100.6978241	2010
296	Cherepovets 	16.5	0	5	5	2	2	0	0	0	59.132333	37.9091811	2010
297	Vrajabhumi 	14.75	0	4	0	0	27	0	0	0	null	null	2010
298	Siput 	13.25	0	0	0	0	53	0	0	0	3.0974948	101.736802	2010
299	Sunyani 	10	0	0	3	10	8	0	0	0	7.3349414	-2.3123031	2010
300	Uberaba 	9.2	0	4	0	0	4	2	0	0	-19.7473668	-47.939154	2010
301	Columbus 	8.5	0	3	0	5	0	0	0	0	39.9611755	-82.9987942	2010
302	Mastricht 	8.25	0	2	0	1	15	0	0	0	50.8513682	5.6909725	2010
303	Petrolina 	6	0	3	0	0	0	0	0	0	-9.389083	-40.5030961	2010
