69,Berlin (S),Ger,17877.50( 9),7,5726*,2848*,7150*,0,25,0,0
70,Phoenix(MA) (S),Mau,17704.60(12),-18,2023,474,500,51668,176*,0,0
71,San Diego (M)  Web,USA,17516.50(12),-44,3604,7515,3374,4426,0,0,8*
72,Novosibirsk (M),Rus,17506.50( 3),-27,4796,4065,3631*,8136*,0,0,0
73,Novorosiysk (S),Rus,17280.00( 2),-24,6095,2221,3237,5002,0,0,0
74,Trivandrum ( ),,15780.75(12),-25,6349,421*,619,3509,3710*,535*,0
75,New Talavan (S)Web,USA,15667.50(12),51,6683*,313*,3057*,1840,0,0,0
76,Kuala Lumpur (M,Mal,14647.90(18),na,3980*,2212,2248,13046,904,0,77*
77,Sofia (MS),Bul,14455.50(12),70,4059*,984,7810*,5794*,0,0,0
78,Almaty (L),Kaz,13750.25(12),-13,4003*,1495,2288,12391,75,0,0
79,Dnepropetrovsk,Ukr,13352.75( 9),-3,5361,817*,1337*,4581,0,0,0
80,Atlanta (S)    Web,USA,12972.95(11),-5,4265*,2934,1415,2927*,697,0,3*
81,Kursk (S),Rus,12690.75( 3),97,3663*,2766*,3478*,3439*,0,0,0
82,Milan (M),Ita,12483.70(11),10,1980,0,17032*,0,77,0,5*
83,Ekaterinburg (M,Rus,12186.35(10),-5,3701*,1802,1235,9425,86,0,0
84,Washington D.C.Web,USA,12145.05(12),-47,3112,1282*,3168*,12053,418,0,99*
85,New Vrajadham-B,Bra,11961.25( 9),28,353,6296*,2647,14543*,0,0,0
86,Melbourne (L),Aus,11370.55(12),-15,4917,549*,420,2659*,1128,0,0
87,Tyumen (S),Rus,11266.75( 5),166,3637*,1114*,4318*,2879*,0,0,0
88,Ivanovo (S),Rus,11205.00(12),90,2790*,2057*,3846*,6580*,0,0,0
89,Kathmandu (S),Nep,11074.25( 5),na,4750,485,906,2545,0,0,0
90,Rostov-na-Donu,Rus,11031.50( 1),-9,2431,2986,3211,6312*,0,0,0
91,Alachua (S)    Web,USA,10659.30(11),-4,1614,316*,4783*,16136*,6854*,1,19*
92,Buenos Aires (M,Arg,10561.75(10),-44,765,904,0,32511,0,0,0
93,Kaunas (S),Lit,10482.00(12),-18,2542,2033*,536*,12388,0,0,0
94,Kanyakumari (MS,Ind,10453.50(12),-60,4003,1365,189,896,5892*,92,8
95,Govindadvipa (SWeb,Ire,10226.50( 1),23,4115*,0,3807,372,0,0,0
96,TBB TSKP (MS),USA,10196.00(12),-53,1944,624,7971*,6794,0,0,0
97,Kharkov (S),Ukr,10029.50( 4),44,2489*,208*,2272*,14830*,0,0,0
98,Heidelberg (MS),Ger,9878.60( 9),42,3304*,2114*,2308,0,26,0,0
99,Prabhupada Desh,Ita,9695.80(10),-30,3859,0,3140,0,1760*,122*,0
100,Hillsborough,USA,9617.75(12),53,3040*,460*,1086*,9169*,1677*,17*,49*
101,Bhopal (S),Ind,9430.00( 3),-49,3876,270,373,4886*,0,0,86
