54	Santiago 	20007.25	0	1211	383	7779	53251	0	0	0	42.8782132	-8.5448445	1/1/2013
55	Somogyvamos	19487.3	131	4864	3190	9039	2690	13773	0	0	46.5692048	17.6838395	1/1/2013
56	Chittagong	19268	-4	5279	1244	2354	18080	7791	521	4	22.3475365	91.8123324	1/1/2013
57	Tirunelveli 	18835.95	65	6188	222	80	18609	13443	106	0	8.7139126	77.7566523	1/1/2013
58	Buenos Aires	18702.25	0	1809	1973	0	52445	0	0	0	-34.6036844	-58.3815591	1/1/2013
59	Baroda	18487.05	240	7301	0	1735	2085	6118	880	63	22.3071588	73.1812187	1/1/2013
60	Bhopal 	18450	0	7539	2718	527	1562	0	0	173	23.2599333	77.412615	1/1/2013
61	Laguna Beach	18106.55	25	7388	323	498	8351	6620	2	37	33.5422475	-117.7831104	1/1/2013
62	Chelyabinsk	17407.75	0	3566	3042	5804	17145	455	0	0	55.1644419	61.4368431	1/1/2013
63	Berlin 	16753.5	1	5511	2291	6881	0	0	0	0	52.5200066	13.404954	1/1/2013
64	Curitiba 	16548.25	0	1424	6544	4478	19653	40	0	0	-25.4289541	-49.267137	1/1/2013
65	Sochi	16266.75	107	4391	2756	5219	8477	0	0	0	43.6028079	39.7341543	1/1/2013
66	Almaty 	15788	-23	2452	3718	6441	15782	0	0	0	43.2220146	76.8512485	1/1/2013
67	Budapest	15291.3	247	4429	3078	3912	1582	10038	0	0	47.497912	19.040235	1/1/2013
68	Krasnoyarsk	14754	0	2700	3482	5007	13474	0	0	0	56.0152834	92.8932476	1/1/2013
69	Vicenza	13848.5	-33	5705	0	4869	2	35	0	0	45.5454787	11.5354214	1/1/2013
70	Dnepropetrovsk	13826.25	-68	5512	394	991	7651	0	0	0	48.464717	35.046183	1/1/2013
71	Atlanta 	13701.9	0	4184	3648	2738	624	1609	0	0	33.7489954	-84.3879824	1/1/2013
72	Melbourne	13419	-6	5966	545	698	2372	0	0	0	28.0836269	-80.6081089	1/1/2013
73	Brahmapur 	13239.25	0	4198	2923	1199	5163	300	0	0	19.3149618	84.7940911	1/1/2013
74	Philadelphia	13171.55	103	4735	349	275	11611	3123	0	18	39.9525839	-75.1652215	1/1/2013
75	Ekaterinburg	12802.5	12	2909	2978	3159	9708	0	0	0	56.8389261	60.6057025	1/1/2013
76	Kaunas 	12718.5	7	3486	1513	271	16392	0	0	0	54.8985207	23.9035965	1/1/2013
77	Rostov-na-Donu	12116.25	69	2577	3208	4533	5951	0	0	0	47.2357137	39.701505	1/1/2013
78	Kuala Lumpur 	11927	48	480	0	21934	0	0	0	24	3.139003	101.686855	1/1/2013
79	Barnaul 	11546	2	2631	3133	3878	4848	0	0	0	53.3547792	83.7697832	1/1/2013
80	Brisbane 	11353.75	390	4422	464	3680	713	275	0	15	-27.4710107	153.0234489	1/1/2013
81	Milan 	11330.3	-69	2761	0	11599	0	88	0	0	45.4654219	9.1859243	1/1/2013
82	Brno	11079	9	575	9769	159	322	0	0	0	49.1950602	16.6068371	1/1/2013
83	Alachua 	11051.2	-4	2505	307	3526	13092	6542	10	5	29.7938144	-82.4944226	1/1/2013
84	Vladivostok	10659.75	2	2553	2794	3178	4683	0	0	0	43.1737387	132.0064506	1/1/2013
85	New Talavan 	10398.75	13	4112	226	2811	2173	0	0	0	null	null	1/1/2013
86	Teresopolis	10062	0	417	1772	1553	26708	25	0	0	-22.4169605	-42.9756016	1/1/2013
87	Prague	9981.5	-19	788	5620	129	10298	1465	0	0	50.0755381	14.4378005	1/1/2013
88	New Vrajadham-B	9340.9	0	368	4458	2737	11112	4	0	0	null	null	1/1/2013
89	Odessa 	9199.25	-43	3898	65	699	3955	0	0	0	46.482526	30.7233095	1/1/2013
90	New Orleans 	9008.25	54	38	8	11209	13279	0	0	0	29.9510658	-90.0715323	1/1/2013
91	Yaroslavl	8807.75	0	2784	953	1694	5759	0	0	0	57.6260744	39.8844708	1/1/2013
92	Sofia 	8501	42	1651	2175	3274	5548	0	0	0	42.6977082	23.3218675	1/1/2013
93	Govindadvipa	8333	0	1254	204	10106	2272	0	0	0	null	null	1/1/2013
94	Irkutsk	8196.25	-23	1672	2183	2834	5009	0	0	0	52.2869741	104.3050183	1/1/2013
95	Dallas 	8050.8	149	2883	936	1322	2682	41	3	5	32.7766642	-96.7969879	1/1/2013
96	Wellington	7728.85	-11	1167	4230	421	3395	1056	0	16	-41.2864603	174.776236	1/1/2013
97	Florence	7498.3	-70	2122	0	6346	94	179	21	0	43.7695604	11.2558136	1/1/2013
98	Presov	7270.75	136	902	5146	0	1283	0	0	0	48.9979058	21.2396073	1/1/2013
99	Kharkov	6973.75	-34	1849	160	1854	8755	0	0	0	49.9935	36.230383	1/1/2013
100	Heidelberg	6955.5	-11	2540	385	2956	0	125	0	0	49.3987524	8.6724335	1/1/2013
101	Essentuki 	6854.75	-16	1483	1686	2783	3245	0	0	0	44.0455121	42.8575232	1/1/2013
102	Kursk 	6454.5	0	2089	1157	1330	1818	0	0	0	51.7091957	36.1562241	1/1/2013
103	Vilnius 	6356.25	-3	1972	669	305	6363	0	0	0	54.6871555	25.2796514	1/1/2013
104	"Hillsborough,0.0,6300.5,0,2426,225,650,3150,1110,0,36.0754183,-79.0997347,"												1/1/2013
105	Baltimore 	6178.2	0	2652	52	241	2112	1649	2	15	39.2903848	-76.6121893	1/1/2013
106	Monterrey 	6079.75	21	161	770	1977	15997	0	0	0	25.6866142	-100.3161126	1/1/2013
107	Sarajevo 	6032.25	45	2572	658	155	611	0	0	0	43.8562586	18.4130763	1/1/2013
108	Ivanovo 	5904	0	1586	778	2325	3166	0	0	0	57.0050671	40.9766453	1/1/2013
109	Donetsk 	5705.75	-50	1451	594	1687	5465	0	0	0	48.015883	37.80285	1/1/2013
110	Austin 	5656.75	0	2497	84	541	1223	25	0	1	30.267153	-97.7430608	1/1/2013
111	Rome 	5557.8	-63	1208	0	6283	0	3	0	0	41.9027835	12.4963655	1/1/2013
112	Mumbai-Kharghar	5506.6	-94	2332	394	306	1060	306	0	0	19.0473216	73.0699046	1/1/2013
113	Montevideo 	5489.75	69	33	0	15	21665	0	0	0	-34.9011127	-56.1645314	1/1/2013
